0,0,0
0,1,8
0,2,8
0,3,9
0,4,1
1,0,4
1,1,3
1,2,8
1,3,4
1,4,9
2,0,2
2,1,3
2,2,1
2,3,1
2,4,9
3,0,6
3,1,5
3,2,1
3,3,9
3,4,6
4,0,4
4,1,5
4,2,4
4,3,1
4,4,2
5,0,1
5,1,2
5,2,2
5,3,4
5,4,0
6,0,9
6,1,9
6,2,5
6,3,5
6,4,3
7,0,9
7,1,4
7,2,1
7,3,8
7,4,4
8,0,2
8,1,4
8,2,1
8,3,1
8,4,9
9,0,10
9,1,6
9,2,1
9,3,2
9,4,4
10,0,8
10,1,0
10,2,0
10,3,2
10,4,6
11,0,7
11,1,6
11,2,5
11,3,5
11,4,3
12,0,7
12,1,2
12,2,7
12,3,2
12,4,4
13,0,6
13,1,8
13,2,1
13,3,9
13,4,8
14,0,5
14,1,4
14,2,4
14,3,3
14,4,5
15,0,5
15,1,8
15,2,8
15,3,6
15,4,4
16,0,8
16,1,5
16,2,4
16,3,9
16,4,9
17,0,6
17,1,6
17,2,6
17,3,2
17,4,3
18,0,5
18,1,2
18,2,8
18,3,2
18,4,2
19,0,2
19,1,2
19,2,4
19,3,3
19,4,9
20,0,4
20,1,2
20,2,9
20,3,10
20,4,4
21,0,1
21,1,3
21,2,4
21,3,6
21,4,3
22,0,6
22,1,7
22,2,2
22,3,1
22,4,3
23,0,3
23,1,4
23,2,5
23,3,1
23,4,3
24,0,8
24,1,0
24,2,9
24,3,7
24,4,5
25,0,6
25,1,2
25,2,5
25,3,10
25,4,5
26,0,5
26,1,2
26,2,5
26,3,6
26,4,7
27,0,4
27,1,4
27,2,10
27,3,0
27,4,9
28,0,9
28,1,8
28,2,1
28,3,3
28,4,3
29,0,7
29,1,1
29,2,7
29,3,1
29,4,7
30,0,5
30,1,8
30,2,7
30,3,9
30,4,9
31,0,3
31,1,7
31,2,2
31,3,0
31,4,7
32,0,5
32,1,5
32,2,9
32,3,6
32,4,6
33,0,9
33,1,8
33,2,6
33,3,2
33,4,2
34,0,9
34,1,0
34,2,5
34,3,2
34,4,10
35,0,7
35,1,5
35,2,5
35,3,1
35,4,7
36,0,0
36,1,1
36,2,5
36,3,1
36,4,8
37,0,8
37,1,7
37,2,1
37,3,7
37,4,5
38,0,10
38,1,6
38,2,8
38,3,5
38,4,4
39,0,8
39,1,1
39,2,1
39,3,2
39,4,4
40,0,8
40,1,8
40,2,1
40,3,4
40,4,5
41,0,4
41,1,7
41,2,6
41,3,3
41,4,4
42,0,0
42,1,10
42,2,2
42,3,1
42,4,4
43,0,2
43,1,5
43,2,3
43,3,10
43,4,9
44,0,1
44,1,7
44,2,3
44,3,4
44,4,5
45,0,9
45,1,4
45,2,10
45,3,3
45,4,7
46,0,7
46,1,5
46,2,7
46,3,7
46,4,2
47,0,1
47,1,10
47,2,2
47,3,0
47,4,6
48,0,9
48,1,7
48,2,2
48,3,4
48,4,5
49,0,10
49,1,2
49,2,9
49,3,6
49,4,4
50,0,2
50,1,4
50,2,5
50,3,1
50,4,6
51,0,2
51,1,4
51,2,6
51,3,3
51,4,3
52,0,6
52,1,3
52,2,8
52,3,10
52,4,7
53,0,3
53,1,6
53,2,1
53,3,9
53,4,9
54,0,8
54,1,3
54,2,6
54,3,0
54,4,4
55,0,3
55,1,2
55,2,2
55,3,4
55,4,1
56,0,6
56,1,5
56,2,7
56,3,7
56,4,6
57,0,0
57,1,1
57,2,3
57,3,5
57,4,7
58,0,4
58,1,8
58,2,7
58,3,10
58,4,5
59,0,3
59,1,1
59,2,6
59,3,8
59,4,4
60,0,1
60,1,3
60,2,2
60,3,3
60,4,4
61,0,5
61,1,5
61,2,9
61,3,5
61,4,9
62,0,6
62,1,10
62,2,2
62,3,7
62,4,3
63,0,7
63,1,7
63,2,1
63,3,3
63,4,2
64,0,7
64,1,8
64,2,3
64,3,8
64,4,7
65,0,0
65,1,6
65,2,4
65,3,9
65,4,0
66,0,5
66,1,4
66,2,5
66,3,8
66,4,3
67,0,8
67,1,5
67,2,0
67,3,2
67,4,7
68,0,5
68,1,2
68,2,3
68,3,6
68,4,2
69,0,7
69,1,2
69,2,9
69,3,3
69,4,8
70,0,2
70,1,3
70,2,1
70,3,6
70,4,7
71,0,5
71,1,4
71,2,6
71,3,6
71,4,7
72,0,6
72,1,9
72,2,2
72,3,7
72,4,2
73,0,1
73,1,6
73,2,5
73,3,5
73,4,7
74,0,8
74,1,4
74,2,7
74,3,4
74,4,8
75,0,8
75,1,3
75,2,6
75,3,6
75,4,5
76,0,9
76,1,3
76,2,3
76,3,1
76,4,9
77,0,6
77,1,5
77,2,6
77,3,5
77,4,6
78,0,5
78,1,7
78,2,5
78,3,10
78,4,2
79,0,1
79,1,1
79,2,1
79,3,4
79,4,4
80,0,4
80,1,8
80,2,6
80,3,8
80,4,9
81,0,10
81,1,2
81,2,1
81,3,7
81,4,1
82,0,5
82,1,5
82,2,9
82,3,5
82,4,4
83,0,7
83,1,7
83,2,5
83,3,3
83,4,1
84,0,6
84,1,3
84,2,0
84,3,8
84,4,2
85,0,4
85,1,7
85,2,4
85,3,7
85,4,4
86,0,7
86,1,7
86,2,4
86,3,0
86,4,3
87,0,4
87,1,3
87,2,2
87,3,8
87,4,4
88,0,9
88,1,4
88,2,8
88,3,4
88,4,8
89,0,8
89,1,4
89,2,2
89,3,8
89,4,9
90,0,3
90,1,7
90,2,4
90,3,8
90,4,8
91,0,2
91,1,9
91,2,10
91,3,5
91,4,9
92,0,6
92,1,2
92,2,2
92,3,4
92,4,7
93,0,8
93,1,8
93,2,3
93,3,5
93,4,1
94,0,1
94,1,1
94,2,7
94,3,5
94,4,2
95,0,5
95,1,1
95,2,1
95,3,9
95,4,6
96,0,9
96,1,7
96,2,6
96,3,8
96,4,9
97,0,10
97,1,0
97,2,9
97,3,6
97,4,10
98,0,5
98,1,5
98,2,8
98,3,2
98,4,5
99,0,9
99,1,6
99,2,8
99,3,7
99,4,6
